"","SciName","family","m_index","movement_keyword","mean_pld","sd_pld","n_mean","mean_pld_family","sd_pld_family","n_mean_family","pld"
"542","Miichthys miiuy","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"543","Otolithes ruber","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"544","Paralonchurus peruanus","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"545","Pennahia anea","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"546","Pennahia argentata","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"547","Pogonias cromis","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"548","Pseudotolithus elongatus","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"549","Pseudotolithus senegalensis","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"550","Pseudotolithus senegallus","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"551","Pteroscion peli","Sciaenidae",2,"habitat_benthic",NA,NA,NA,20.875,1.65201896679992,4,20.875
"552","Sciaenops ocellatus","Sciaenidae",2,"habitat_benthic",22,0,1,20.875,1.65201896679992,4,22
"553","Umbrina canariensis","Sciaenidae",2,"habitat_benthic",NA,NA,NA,20.875,1.65201896679992,4,20.875
"554","Umbrina canosai","Sciaenidae",2,"habitat_benthic",NA,NA,NA,20.875,1.65201896679992,4,20.875
"555","Umbrina cirrosa","Sciaenidae",2,"habitat_reef",NA,NA,NA,20.875,1.65201896679992,4,20.875
"556","Cololabis saira","Scomberesocidae",3,"pelagic",NA,NA,NA,NA,NA,NA,43.0493696758551
"557","Scomberesox saurus","Scomberesocidae",3,"pelagic",NA,NA,NA,NA,NA,NA,43.0493696758551
"558","Acanthocybium solandri","Scombridae",3,"pelagic",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"559","Allothunnus fallai","Scombridae",3,"pelagic",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"560","Auxis thazard","Scombridae",3,"pelagic",10,0,2,24.4206818181818,11.9823401833072,44,10
"561","Euthynnus affinis","Scombridae",3,"pelagic",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"562","Euthynnus alletteratus","Scombridae",3,"hms",24,0,1,24.4206818181818,11.9823401833072,44,24
"563","Euthynnus lineatus","Scombridae",3,"pelagic",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"564","Gasterochisma melampus","Scombridae",3,"deep",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"565","Gymnosarda unicolor","Scombridae",3,"pelagic",NA,NA,NA,24.4206818181818,11.9823401833072,44,24.4206818181818
"566","Katsuwonus pelamis","Scombridae",3,"pelagic",21.1,0,1,24.4206818181818,11.9823401833072,44,21.1
