"","SciName","PLD","database","Family","part_of_stock_list"
"143","Labroides dimidiatus",26,"Fish and Inverts (Ramesh)","Labridae",FALSE
"144","Scomber scombrus japonicus",19.04,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"145","Scomber scombrus japonicus",19.08,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"146","Etrumeus sadina",1.5,"Fish and Inverts (Ramesh)","Dussumieriidae",FALSE
"147","Etrumeus sadina",2,"Fish and Inverts (Ramesh)","Dussumieriidae",FALSE
"148","Etrumeus sadina",2.08,"Fish and Inverts (Ramesh)","Dussumieriidae",FALSE
"149","Etrumeus sadina",5.62,"Fish and Inverts (Ramesh)","Dussumieriidae",FALSE
"150","Morone flavescens",36,"Fish and Inverts (Ramesh)","Moronidae",FALSE
"151","Morone saxitilis",33,"Fish and Inverts (Ramesh)","Moronidae",FALSE
"152","Achirus lineatus",23,"Fish and Inverts (Ramesh)","Achiridae",FALSE
"153","Scomberomorus maculatus",9.65,"Fish and Inverts (Ramesh)","Scombridae",TRUE
"154","Scomberomorus maculatus",10.02,"Fish and Inverts (Ramesh)","Scombridae",TRUE
"155","Scomberomorus maculatus",10.04,"Fish and Inverts (Ramesh)","Scombridae",TRUE
"156","Coregonus hoyi",24,"Fish and Inverts (Ramesh)","Salmonidae",FALSE
"157","Engraulis ringens",74,"Fish and Inverts (Ramesh)","Engraulidae",TRUE
"158","Engraulis encrasicolus",37,"Fish and Inverts (Ramesh)","Engraulidae",TRUE
"159","Dorosoma cepedianum",1.5,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"160","Dorosoma cepedianum",3.96,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"161","Anchoviella guineensis",37,"Fish and Inverts (Ramesh)","Engraulidae",FALSE
"162","Alosa sapidissima",2,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"163","Alosa sapidissima",3,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"164","Alosa sapidissima",7,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"165","Alosa sapidissima",11,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"166","Alosa sapidissima",13.5,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"167","Alosa sapidissima",2,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"168","Alosa sapidissima",17,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"169","Anchoa mitchilli",32,"Fish and Inverts (Ramesh)","Engraulidae",FALSE
"170","Thunnus thynnus maccoyii",24,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"171","Cheilodipterus quinquelineatus",23,"Fish and Inverts (Ramesh)","Apogonidae",FALSE
"172","Scomber pelamys",21.1,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"173","Melanogrammus aeglefinus",140,"Fish and Inverts (Ramesh)","Gadidae",TRUE
"174","Melanogrammus aeglefinus",142,"Fish and Inverts (Ramesh)","Gadidae",TRUE
"175","Thunnus thynnus",31,"Fish and Inverts (Ramesh)","Scombridae",TRUE
"176","Ammodytes americanus",159,"Fish and Inverts (Ramesh)","Ammodytidae",FALSE
"177","Paralichthys dentatus",101.33,"Fish and Inverts (Ramesh)","Paralichthyidae",TRUE
"178","Paralichthys dentatus",102.06,"Fish and Inverts (Ramesh)","Paralichthyidae",TRUE
"179","Paralichthys dentatus",104.92,"Fish and Inverts (Ramesh)","Paralichthyidae",TRUE
"180","Scomber quadripunctatus",24,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"181","Salmo vimba",28,"Fish and Inverts (Ramesh)","Salmonidae",FALSE
"182","Morone americana",85,"Fish and Inverts (Ramesh)","Moronidae",FALSE
"183","Abudefduf curacao",13,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"184","Sardinops caeruleus",46.5,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"185","Sardinops caeruleus",46,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"186","Sardinops caeruleus",45.75,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"187","Sardinops caeruleus",47.7,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"188","Scomber japonicus",19.04,"Fish and Inverts (Ramesh)","Scombridae",TRUE
"189","Scomber japonicus",19.08,"Fish and Inverts (Ramesh)","Scombridae",TRUE
"190","Thunnus vulgaris",31,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"191","Anchoviella tapirulus",74,"Fish and Inverts (Ramesh)","Engraulidae",FALSE
"192","Euthynnus alletteratus",24,"Fish and Inverts (Ramesh)","Scombridae",TRUE
"193","Callichirus islagrande",14,"Fish and Inverts (Ramesh)","Callichiridae",FALSE
"194","Hemigrapsus oregonensis",24.5,"Fish and Inverts (Ramesh)","Varunidae",FALSE
