scientific,LarvaeDuration,EggDuration,EggFloating
Chionodraco hamatus,547,0,
Chromis atripectoralis,21,0,
Chromis punctipinnis,35,0,
Chromis xanthura,25,0,
Chrysiptera glauca,25,0,
Clevelandia ios,21,0,
Clinocottus analis,42,0,
Coris julis,35,0,
Ctenolabrus rupestris,20.9,0,
Cynoscion nebulosus,20,0,
Dascyllus aruanus,23,0,
Dascyllus aruanus,25,0,
Dascyllus trimaculatus,23,0,
Didogobius schlieweni,26,0,
Dissostichus mawsoni,547,0,
Elacatinus evelynae,22.3,0,
Embiotoca jacksoni,0,0,
Engraulis mordax,30,0,
Epinephelus merra,39,0,
Epinephelus morio,40,0,
Epinephelus morio,40,0,
Eucyclogobius newberryi,16.5,0,
Eupomacentrus partitus,28,0,
Forcipiger flavissimus,45,0,
Gaidropsarus mediterraneus,43,0,
Gasterosteus aculeatus,35,0,
Girella nigricans,60,0,
Gnatholepis thompsoni,81.5,0,
Gobionotothen gibberifrons,120,0,
Haemulon flavolineatum,15,0,
Haemulon flavolineatum,15,0,
Halichoeres bivittatus,24.1,0,
Halichoeres bivittatus,24.2,0,
Halichoeres maculipinna,29,0,
Halichoeres poey,25,0,
Halichoeres radiatus,26,0,
Hippocampus NA,18.5,0,
Holocentrus ascensionis,48.7,0,
Holocentrus ascensionis,71,0,
Lachnolaimus maximus,26,0,
Lethrinus obsoletus,14,0,
Lutjanus erythropterus,21,0,
Lythrypnus dalli,70,0,
Malacoctenus hubbsi,24,0,
Medialuna californiensis,90,0,
Mullus surmuletus,30.1,0,
Mycteroperca NA,42,0,
Myripristis berndti,55,0,
Myripristis jacobus,58,0,
Naso vlamingii,90,0,
Ocyurus NA,34.5,0,
Ophioblennius atlanticus,28.6,0,
Ophioblennius steindachneri,50,0,
Ostorhinchus doederleini,21,0,
Pagellus NA,43.9,0,
 ,NA,0,
Paralabrax clathratus,24,0,
Parupeneus barberinus,7,0,
Plectroglyphydodon dickii,25,0,
Pomacentrus coelestis,19,0,
Pomacentrus pavo,25,0,
Pomatoschistus minutus,35,0,
Pterapogon kauderni,0,0,
Pterocaesio chrysozona,42,0,
Rhinecanthus aculeatus,73,0,
Sarpa salpa,31.7,0,
Sciaena umbra,22.5,0,
Scorpaena NA,27,0,
Sebastes atrovirens,75,0,
Sebastes auriculatus,90,0,
Sebastes caurinus,75,0,
Sebastes crameri,90,0,
Sebastes rastrelliger,60,0,
Semicossyphus pulcher,53,0,
Serranus NA,37.5,0,
Siganus luridus,14,0,
Sparisoma viride,57,0,
Spondyliosoma cantharus,33.7,0,
Stegastes fasciolatus,34.5,0,
Stegastes leucostictus,24.5,0,
Stegastes nigricans,24,0,
Stegastes nigricans,24,0,
Thalassoma bifasciatum,45,0,
Thalassoma bifasciatum,49.3,0,
Trachinus draco,12.9,0,
Trigla lucerna,19.1,0,
Mustelus NA,0,0,
Sphyrna NA,0,0,
Carcharhinus NA,0,0,
Acanthaster planci,21,0,
Luidia foliolata,100.5,0,
Patiriella calcar,10,0,
Patiriella exigua,0,0,
Pisaster ochraceus,152,0,
Pycnopodia helianthoides,118,0,
Allocentrotus fragilis,196.5,0,
Brisaster latifrons,117,0,
Dendraster excentricus,115,0,
Echinometra lucunter,14,0,
Heliocidaris erythrogramma,3.5,0,
Heliocidaris tuberculata,21,0,
Paracentrotus lividus,30,0,
Slrongylocentrotus droebachiensis,101.5,0,
Slrongylocentrotus franciscanus,96.5,0,
Slrongylocentrotus pallidus,63,0,
Strongylocentrotus droebachiens,88,0,
Strongylocentrotus franciscanus,100,0,
Strongylocentrotus purpuratus,60,0,
Strongylocentrotus purpuratus,88,0,
Cucumaria miniata,12,0,
Cucumaria pseudocurata,0,0,
Holothuria nobilis,28,0,
Parastichopus californicus,71,0,
Ophiopholis aculeata,149.5,0,
Crassostrea virginica,17.5,0,
Mytilus chilensis,45,0,
Ostrea edulis,10,0,
Panopea abrupta,32,0,
Panopea abrupta,32,0,
Pecten jacobaeus,24.5,0,
Pecten maximus,24.5,0,
Tridacna derasa,8.5,0,
Tridacna gigas,8.5,0,
Tridacna maxima,8.5,0,
Tridacna maxima,8.5,0,
Adalaria proxima,1.5,0,
Aplysia californica,35,0,
Bedeva hanleyi,0,0,
Buccinum undatum,0,0,
Cellana ornata,7,0,
Cellana radians,7,0,
Cominella lineolata,0,0,
Cuthona adyarensis,13.83,0,
Dolabella aunculana,131.06,0,
Goniodoris nodosa,80.5,0,
Haliotis cracherodii,7.5,0,
Haliotis midae,6,0,
Littorina littorea,35,0,
Littorina saxatilis,0,0,
Morula marginalba,31.5,0,
